id,parentId,evolve,name,size,condition,min,like,dislike,unchi,ill,rank,param1,param2,param3,money,hint,content,after
1,1,1,白猫,95,0,91,0,0,1,1,1,0.8,7,3,24,这种猫成长很快。而且不需要花太多的精力照顾。,一般的白猫。全身雪白、因而被名为小白。人类把自己的想法加于它、让它看起来单纯无害。,受到女生的欢迎@看似单纯的猫被单纯地女生用自己的零花钱买走了。
2,2,1,黑猫,95,0,90,0,0,1,1,1,1.1,8,4,45,这种猫成长很快。而且会成为聪明的猫。,普通的黑猫。是使用魔法者和魔女的朋友而知名、但是似乎本人并不愿意是如此。传闻黑猫很爱撒娇。,高中女生对它一见钟情@只要稍微撒娇一下、就会被女高中生看做家庭成员而被买走。
3,3,1,茶色的猫,95,0,89,0,0,1,1,1,1.3,9,3,80,这种猫成长很快。而且不需要花太多的精力照顾。,在道路上经常可见的茶色的猫。是流浪猫还是家饲养的猫、无法辨别。纹路也各有不同。,男生纷纷来到 @青春期的男生就如同看到自己的境遇一般而被买走。
4,4,1,粉色的猫,95,0,121,0,0,1.1,1,1,1.2,10,3,111,这种猫成长很快。而且会成为容易让人亲近的猫。,出生的时候就是带有粉色毛的猫。一般男性很少购买它、主要在女生群中很受欢迎。,因弗朗哥舞而受欢迎@ 因为粉色的斑纹而被弗朗哥舞蹈者所买走。
5,5,1,金色的猫,100,0,182,0,0,1.2,1,2,2,12,5,177,这种猫成长很快。而且不容易生病。,全身黄金色的猫。除了眼中间以外、全都是闪耀着金光。非常稀有的、出现的几率就与遇到土蜂一样稀少。,被神而喜爱@ 因为喜欢它的黄金般的光芒而被神买走。
6,1,2,曼基康猫,95,1,181,3,0,1,1.2,2,1.3,15,2,110,这种猫会成为看起来很可爱的品种。而且因适合在家里饲养而受欢迎。,就如柯基犬和短腿猎犬一样身长退短的猫。但是和狗不一样不容易的疝气。与普通的猫一样善于跳跃。,被偶像明星所喜爱@ 能够治愈每天的疲劳而被偶像明星买走。
7,3,2,虎斑猫,95,2,219,1,0,1.1,1.2,2,1.4,20,3,118,这种猫会成为看起来很可爱的品种。而且因适合在家里饲养而受欢迎。,在日本很早就被熟识的猫。茶色的虎斑猫容易生出雄性的仔。一般来说比较多是有点绿色的虎斑猫。,虎斑球队选手纷纷来到@ 被虎斑球队作为吉祥物而被选走。
8,2,2,美国短毛猫,100,1,111,2,0,1.2,1.2,2,1.2,-2,1,143,这种猫成长很快。而且不需要花太多的精力照顾。,在猫的世界里跳跃能力是第一的。活泼外向的性格、和狗狗能成为好朋友的稀有的猫。而且特别耐寒。,棒球跑垒员来到@ 因为轻盈而运动能力高、帅气的样子而被跑垒员买走。
9,2,2,波斯猫,107,2,261,1,2,1.3,1.2,2,2,35,6,210,这种猫会成长为帅气的品种、而且因适合在家里饲养而受欢迎。,高级品种猫的代表。因为毛长、自己没办法打理、饲养者每天都得帮助整理。但是性格非常稳重。,滑雪的人纷纷来到 @轻飘飘毛茸茸的温暖的猫而被滑雪的人们买走。
10,1,2,暹罗猫,103,3,321,3,4,1,1.5,2,2.1,13,6,157,这种猫会成长为非常美丽的品种、而且因适合在家里饲养而受欢迎。,意外的是产至于泰国的品种。主要特征是有宝石蓝的眼睛、非常高贵的猫。实际上、刚出生的时候是全身雪白。,被出浴美人所喜爱＠ 妖媚的出浴美人一眼就喜欢上而被带走。
11,3,2,三色猫,95,1,192,5,8,1.6,1.5,2,1.8,25,7,99,这种猫会成长为很可爱的品种、而且会成为容易让人亲近的猫,日本的猫。几乎都是雌性的、雄性的比例是1/30000。在海外几乎没有、非常珍贵的品种。,受到画家的喜爱@ 3种美丽的颜色而受到画家的欢迎而被带走。
12,3,2,孟加拉猫,100,2,298,4,5,2,1,2,1.7,-5,2,222,这种猫会成长为非常美丽的品种、而且因适合在家里饲养而受欢迎。,豹纹的猫。带有山猫的血统、却是非常乖的性格、即使被水淋湿、所以并不讨厌洗澡。,电器店100人到来 @ 纹路像电流一样而成为话题、而被电器店所收购。
13,2,2,俄罗斯蓝猫,103,2,184,7,6,1.1,1,3,2,-11,2,282,这种猫成长很快。而且会成为聪明的猫。,在俄罗斯出生的猫。为了可以在寒冷地区可以生存,从俄罗斯来到的一个人@ 回国前的俄罗斯人非常喜欢而被带回国。
14,2,2,西表山猫,101,2,190,8,5,1.2,1,2,2.9,44,4,170,这种猫会成长为强壮的品种、而且散发着野性的魅力。,日本西表岛的山猫。比普通的猫瘦小。但是却是超级肉食动物、连小野猪也能简单的袭击成功。,在军队中受欢迎@  充满野性的身姿而被军队作为宠物而买走。
15,5,2,虎斑猫,105,1,208,8,3,2,2,3,3.3,39,4,264,这种猫会成长为强壮的品种、而且性格活泼。,处于是老虎还是猫的微妙的界限内。生活形态和猫几乎一样、但是也肉食性动物、提供食物的花费要很大。,动员了乡村牧场500人@  作为乡村牧场的招牌猫而被带走。
16,5,2,狮子猫,108,3,332,4,1,2,2,3,2.1,46,6,279,这种猫会成长为带有纹路的品种、而且性格稳重。,被称为百兽之王的却无比像猫的狮子猫。基本上是属于猫类的、也喜欢罐装的猫食。,野生动物园里受欢迎 @ 作为小狮子而成为动物园的人气代表。
17,3,2,豹纹猫,105,4,487,8,2,2,1.1,3,1.7,25,6,253,这种猫会成长为强壮的品种、而且散发着野性的魅力。,经常被误认为是金钱豹。却因为被误以为一定能飞快奔跑而饱受辛劳。,动员了度假地的500人@  作为表演节目中的代表而被度假地所购买
18,3,2,迷你猫,95,4,234,3,8,1.7,1.1,3,2.2,22,6,133,这种猫会成为看起来很可爱的品种。而且要提供许多的食物饲养。,因为喜欢锅、而把自己变成锅形。虽然有点介意头上的盖子、但是还是不舍得离开锅。,受到OL的欢迎@  被OL作为送给男朋友的初料理。简单的就被购买走。
19,1,2,叼着鱼的虎斑猫,100,1,189,5,1,1.4,0.5,1,0.6,33,3,88,这种猫成长很快。而且不需要花太多的精力照顾。,看到最喜欢的鱼而忍耐不住偷食的猫。相当想吃鱼而偷盗后便逃的远远的。,鱼贩到来 @被抢走鱼的鱼贩连猫一起带走。
20,5,2,超人猫,104,2,435,7,0,5,5,4,3.5,0,9,377,这种猫会成长为强壮的品种、而且散发着野性的魅力。,头部的毛量特别多、而且就如电流一般的金发。属于战斗力很强的猫。,美少男所喜爱@  被对于发型有共同感的美少男所带走。  
21,4,2,腮红猫,93,2,212,6,0,0,0.6,2,3.2,40,4,177,这种猫会成长为很可爱的品种、而且会成为容易让人亲近的猫,像涂了腮红似的珍贵的品种。性格来说是相当害羞型的。,受到年轻女生的喜爱@  害羞的表情而被年轻女孩所喜爱而被带走。
22,4,2,贵妇猫,98,2,321,3,8,0,0.6,2,2.5,38,5,244,这种猫会成长为非常美丽的品种、而且需要多花精力照顾。,气度非凡的姿容俘虏了许多雄性的猫。喜欢而且会使用香水、所以擦肩而过都会被陶醉。,酒店公主50人纷纷来到 @ 明星般的感觉而被酒店公主所接受而大量购买
23,1,2,胖猫,115,2,897,8,1,0.7,3,1,3.3,35,4,111,这种猫会成长为大型的品种、而且性格稳重。,最喜欢吃东西的猫。喜欢人类的食物、特别是看到天罗妇。,天罗妇店的老板所喜爱 @ 比起人类更加觉得天罗妇美味无比而被购买走。
24,2,2,松子猫,98,2,211,2,8,0.8,2,2,1.9,21,11,142,这种猫会成长为带有纹路的品种、而且会受到其他动物崇拜。,拥有刺猬爸爸和猫妈妈的特殊的猫。几乎没有同一种类的存在、所以一直很孤单。,樵夫30人纷纷来到 @原生态的样子而被樵夫所接受、因为被当作朋友而带走。
25,2,2,不良猫,100,2,646,1,3,0.5,0.8,3,2.6,33,9,146,这种猫会成长为强壮的品种、但是很容易生病。,是强硬派的猫。复古式大背头每天都得花上1个小时整理。叼个香烟、看起来像个小混混。,被美女所喜爱 @没有能如它 一般男生样的人了！而被美女们带走。
26,5,2,礼服猫,105,1,386,4,0,5,4,4,2.2,18,6,468,这种猫会成长为帅气的品种、而且不容易生病。,穿着礼服的猫。似乎拥有自己的公司。拥有和人类沟通的不可思议的能力。,受到导演们的喜爱@ 被导演安排到自己的作品里演出。
